Flow stats:
- Total flows: 80

CPU core stats:
- Total epochs: 25069
- Time-avg cores: 1

epoch:493, core:1, rate:381
epoch:494, core:1, rate:381
epoch:495, core:1, rate:404
epoch:496, core:1, rate:404
epoch:497, core:1, rate:380
epoch:498, core:1, rate:349
epoch:499, core:1, rate:508
epoch:500, core:1, rate:411
epoch:501, core:1, rate:446
epoch:502, core:1, rate:350
epoch:503, core:1, rate:444
epoch:504, core:1, rate:283
epoch:505, core:1, rate:382
epoch:506, core:1, rate:444
epoch:507, core:1, rate:413
epoch:508, core:1, rate:381
epoch:509, core:1, rate:380
epoch:510, core:1, rate:350
epoch:511, core:1, rate:416
epoch:512, core:1, rate:320
epoch:513, core:1, rate:351
epoch:514, core:1, rate:349
epoch:515, core:1, rate:383
epoch:516, core:1, rate:415
epoch:517, core:1, rate:413
epoch:518, core:1, rate:413
epoch:519, core:1, rate:382
epoch:520, core:1, rate:352
epoch:521, core:1, rate:543
epoch:522, core:1, rate:416
epoch:523, core:1, rate:384
epoch:524, core:1, rate:383
epoch:525, core:1, rate:351
epoch:526, core:1, rate:447
epoch:527, core:1, rate:383
epoch:528, core:1, rate:320
epoch:529, core:1, rate:319
epoch:530, core:1, rate:384
epoch:531, core:1, rate:352
epoch:532, core:1, rate:351
epoch:533, core:1, rate:349
epoch:534, core:1, rate:351
epoch:535, core:1, rate:384
epoch:536, core:1, rate:416
epoch:537, core:1, rate:542
epoch:538, core:1, rate:319
epoch:539, core:1, rate:510
epoch:540, core:1, rate:543
epoch:541, core:1, rate:572
epoch:542, core:1, rate:384
epoch:543, core:1, rate:383
epoch:544, core:1, rate:446
epoch:545, core:1, rate:415
epoch:546, core:1, rate:479
epoch:547, core:1, rate:384
epoch:548, core:1, rate:416
epoch:549, core:1, rate:475
epoch:550, core:1, rate:507
epoch:551, core:1, rate:446
epoch:552, core:1, rate:544
epoch:553, core:1, rate:349
epoch:554, core:1, rate:409
epoch:555, core:1, rate:383
epoch:556, core:1, rate:350
epoch:557, core:1, rate:416
epoch:558, core:1, rate:542
epoch:559, core:1, rate:415
epoch:560, core:1, rate:446
epoch:561, core:1, rate:443
epoch:562, core:1, rate:350
epoch:563, core:1, rate:448
epoch:564, core:1, rate:445
epoch:565, core:1, rate:480
epoch:566, core:1, rate:383
epoch:567, core:1, rate:416
epoch:568, core:1, rate:381
epoch:569, core:1, rate:384
epoch:570, core:1, rate:350
epoch:571, core:1, rate:414
epoch:572, core:1, rate:446
epoch:573, core:1, rate:446
epoch:574, core:1, rate:416
epoch:575, core:1, rate:511
epoch:576, core:1, rate:446
epoch:577, core:1, rate:478
epoch:578, core:1, rate:348
epoch:579, core:1, rate:383
epoch:580, core:1, rate:381
epoch:581, core:1, rate:510
epoch:582, core:1, rate:600
epoch:583, core:1, rate:572
epoch:584, core:1, rate:447
epoch:585, core:1, rate:413
epoch:586, core:1, rate:477
epoch:587, core:1, rate:352
epoch:588, core:1, rate:446
epoch:589, core:1, rate:480
epoch:590, core:1, rate:445
epoch:591, core:1, rate:415
epoch:592, core:1, rate:569
epoch:593, core:1, rate:410
epoch:594, core:1, rate:318
epoch:595, core:1, rate:380
epoch:596, core:1, rate:383
epoch:597, core:1, rate:414
epoch:598, core:1, rate:447
epoch:599, core:1, rate:414
epoch:600, core:1, rate:384
epoch:601, core:1, rate:477
epoch:602, core:1, rate:384
epoch:603, core:1, rate:477
epoch:604, core:1, rate:445
epoch:605, core:1, rate:478
epoch:606, core:1, rate:316
epoch:607, core:1, rate:352
epoch:608, core:1, rate:317
epoch:609, core:1, rate:415
epoch:610, core:1, rate:349
epoch:611, core:1, rate:317
epoch:612, core:1, rate:352
epoch:613, core:1, rate:349
epoch:614, core:1, rate:445
epoch:615, core:1, rate:414
epoch:616, core:1, rate:350
epoch:617, core:1, rate:352
epoch:618, core:1, rate:318
epoch:619, core:1, rate:320
epoch:620, core:1, rate:606
epoch:621, core:1, rate:510
epoch:622, core:1, rate:416
epoch:623, core:1, rate:350
epoch:624, core:1, rate:416
epoch:625, core:1, rate:416
epoch:626, core:1, rate:414
epoch:627, core:1, rate:384
epoch:628, core:1, rate:315
epoch:629, core:1, rate:414
epoch:630, core:1, rate:383
epoch:631, core:1, rate:256
epoch:632, core:1, rate:288
epoch:633, core:1, rate:413
epoch:634, core:1, rate:413
epoch:635, core:1, rate:512
epoch:636, core:1, rate:512
epoch:637, core:1, rate:511
epoch:638, core:1, rate:384
epoch:639, core:1, rate:383
epoch:640, core:1, rate:383
epoch:641, core:1, rate:383
epoch:642, core:1, rate:543
epoch:643, core:1, rate:544
epoch:644, core:1, rate:576
epoch:645, core:1, rate:607
epoch:646, core:1, rate:351
epoch:647, core:1, rate:512
epoch:648, core:1, rate:479
epoch:649, core:1, rate:416
epoch:650, core:1, rate:446
epoch:651, core:1, rate:288
epoch:652, core:1, rate:352
epoch:653, core:1, rate:318
epoch:654, core:1, rate:415
epoch:655, core:1, rate:351
epoch:656, core:1, rate:414
epoch:657, core:1, rate:480
epoch:658, core:1, rate:350
epoch:659, core:1, rate:384
epoch:660, core:1, rate:416
epoch:661, core:1, rate:480
epoch:662, core:1, rate:544
epoch:663, core:1, rate:480
epoch:664, core:1, rate:512
epoch:665, core:1, rate:349
epoch:666, core:1, rate:351
epoch:667, core:1, rate:608
epoch:668, core:1, rate:544
epoch:669, core:1, rate:415
epoch:670, core:1, rate:479
epoch:671, core:1, rate:352
epoch:672, core:1, rate:448
epoch:673, core:1, rate:384
epoch:674, core:1, rate:384
epoch:675, core:1, rate:480
epoch:676, core:1, rate:416
epoch:677, core:1, rate:510
epoch:678, core:1, rate:444
epoch:679, core:1, rate:576
epoch:680, core:1, rate:576
epoch:681, core:1, rate:448
epoch:682, core:1, rate:544
epoch:683, core:1, rate:411
epoch:684, core:1, rate:416
epoch:685, core:1, rate:319
epoch:686, core:1, rate:413
epoch:687, core:1, rate:412
epoch:688, core:1, rate:431
epoch:689, core:1, rate:319
epoch:690, core:1, rate:320
epoch:691, core:1, rate:320
epoch:692, core:1, rate:351
epoch:693, core:1, rate:383
epoch:694, core:1, rate:416
epoch:695, core:1, rate:384
epoch:696, core:1, rate:352
epoch:697, core:1, rate:448
epoch:698, core:1, rate:448
epoch:699, core:1, rate:351
epoch:700, core:1, rate:384
